,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
2057,5390881,2,0,0,0,0,2,1,2961,1,passed,1168
2058,5394022,2,0,0,0,0,2,1,2962,1,passed,1232
2059,5394203,2,0,0,0,0,2,1,2963,1,passed,1241
2060,5397519,2,0,0,0,0,2,1,2964,1,passed,1195
2061,5400805,2,0,0,0,0,2,1,2965,1,passed,1000
2062,5408581,2,0,0,0,0,2,1,2966,1,passed,1286
2063,5413197,2,0,0,0,0,2,1,2967,1,passed,1319
2064,5415763,2,0,0,0,0,2,1,2968,1,passed,1863
2065,5418531,2,0,0,0,0,11,1,3189,1,passed,2490
2066,5418536,12,0,0,0,0,6,1,930,1,passed,2415
2067,5419108,2,0,0,0,0,3,1,3051,1,passed,1767
2068,5435432,2,0,0,0,0,11,1,3191,1,passed,1377
2069,5436064,4,0,0,0,0,2,1,2972,1,passed,1201
2070,5438185,151,0,0,0,0,12,5,638,5,failed,1171
2071,5439547,2,0,0,0,0,2,1,2973,1,passed,1137
2072,5443240,935,0,0,0,0,6,4,292,4,passed,1782
2073,5443512,13,0,0,0,0,1,1,19,1,passed,1512
2074,5444697,127,0,0,0,0,1,1,93,1,passed,1625
2075,5449349,2,0,0,0,0,2,1,2974,1,passed,1243
2076,5449609,2,0,0,0,0,2,1,2975,1,passed,1927
2077,5450641,2,0,0,0,0,2,1,2976,1,passed,1119
2078,5451728,2,0,0,0,0,2,1,2977,1,passed,1929
2079,5458945,2,0,0,0,0,2,1,2978,1,passed,1398
2080,5464392,0,0,0,0,0,1,1,12,1,passed,1439
