project,algorithm,batch_size,confidence,project_reqd_builds,project_missed_builds,project_build_duration,project_saved_builds,project_delays,testall_size,batch_delays
vagrant,BATCHSTOP4,4,4,22.183098591549296,1.408450704225352,9667,40.49295774647887,"[2, 3, 2, 4]",284,253.0
vagrant,BATCHSTOP4,4,5,18.661971830985916,1.7605633802816902,8360,47.88732394366197,"[5, 4, 2, 2, 5]",284,222.0
vagrant,BATCHSTOP4,4,6,14.084507042253522,2.464788732394366,6104,54.929577464788736,"[3, 2, 2, 5, 4, 6, 4]",284,192.0
vagrant,BATCHSTOP4,4,7,17.95774647887324,1.408450704225352,8141,56.33802816901409,"[4, 7, 6, 5]",284,186.0
vagrant,BATCHSTOP4,4,8,15.492957746478874,1.7605633802816902,7222,60.563380281690144,"[4, 7, 8, 8, 5]",284,168.0
vagrant,BATCHSTOP4,4,9,14.788732394366198,1.7605633802816902,6509,63.38028169014085,"[9, 8, 7, 4, 3]",284,156.0
vagrant,BATCHSTOP4,4,10,10.915492957746478,2.464788732394366,5338,67.6056338028169,"[8, 10, 3, 9, 4, 7, 6]",284,138.0
vagrant,BATCHSTOP4,4,11,9.507042253521126,2.816901408450704,3666,70.77464788732394,"[5, 7, 2, 8, 8, 6, 9, 12]",284,126.0
vagrant,BATCHSTOP4,4,12,11.619718309859154,2.112676056338028,5023,70.4225352112676,"[9, 5, 5, 2, 6, 7]",284,126.0
vagrant,BATCHSTOP4,4,13,5.985915492957746,3.1690140845070425,2853,76.05633802816901,"[13, 12, 7, 6, 12, 6, 6, 11, 12]",284,102.0
vagrant,BATCHSTOP4,4,14,9.154929577464788,2.464788732394366,4259,74.64788732394366,"[6, 3, 4, 10, 8, 9, 5]",284,108.0
vagrant,BATCHSTOP4,4,15,8.80281690140845,2.464788732394366,4049,76.05633802816901,"[3, 8, 7, 14, 4, 6, 13]",284,102.0
vagrant,BATCHSTOP4,4,16,10.211267605633802,2.112676056338028,4866,76.05633802816901,"[6, 14, 15, 7, 5, 13]",284,102.0
vagrant,BATCHSTOP4,4,17,13.380281690140846,1.408450704225352,5930,74.64788732394366,"[9, 7, 6, 15]",284,108.0
vagrant,BATCHSTOP4,4,18,10.211267605633802,2.112676056338028,4096,78.16901408450704,"[12, 5, 10, 4, 10, 12]",284,93.0
vagrant,BATCHSTOP4,4,19,4.577464788732394,3.1690140845070425,1786,82.74647887323944,"[15, 10, 17, 6, 12, 8, 3, 14, 12]",284,73.0
vagrant,BATCHSTOP4,4,20,9.154929577464788,2.112676056338028,4106,80.28169014084507,"[18, 15, 8, 4, 15, 12]",284,84.0
vagrant,BATCHSTOP4,8,2,27.816901408450704,0.352112676056338,12690,9.507042253521126,[2],284,897.0
vagrant,BATCHSTOP4,8,3,26.760563380281692,0.704225352112676,11601,16.549295774647888,"[2, 3]",284,827.0
vagrant,BATCHSTOP4,8,4,25.704225352112676,0.704225352112676,11875,22.535211267605632,"[3, 2]",284,766.0
vagrant,BATCHSTOP4,8,5,17.253521126760564,1.7605633802816902,7811,31.338028169014084,"[5, 4, 3, 2, 3]",284,678.0
vagrant,BATCHSTOP4,8,6,21.12676056338028,1.056338028169014,10038,32.394366197183096,"[5, 4, 3]",284,672.0
vagrant,BATCHSTOP4,8,7,18.309859154929576,1.7605633802816902,7707,38.38028169014085,"[2, 7, 2, 5, 12]",284,616.0
vagrant,BATCHSTOP4,8,8,12.67605633802817,2.464788732394366,4990,44.71830985915493,"[5, 2, 5, 3, 2, 6, 12]",284,547.0
vagrant,BATCHSTOP4,8,9,7.042253521126761,3.1690140845070425,3240,51.056338028169016,"[9, 8, 3, 2, 8, 2, 2, 7, 12]",284,482.0
vagrant,BATCHSTOP4,8,10,11.267605633802816,2.464788732394366,5049,51.056338028169016,"[6, 3, 4, 10, 8, 9, 12]",284,482.0
vagrant,BATCHSTOP4,8,11,20.774647887323944,0.704225352112676,10041,46.478873239436616,"[10, 9]",284,532.0
