,Unnamed: 0,project,algorithm,batch_size,confidence,builds_reqd,median_delay,testall_size
185,185,gradle.csv,BATCH4,4,16,12.357217030114226,2.0,1926
186,186,gradle.csv,BATCH4,4,17,10.643821391484945,2.0,1926
187,187,gradle.csv,BATCH4,4,18,11.993769470404985,2.0,1926
188,188,gradle.csv,BATCH4,4,19,12.668743509865005,2.0,1926
189,189,gradle.csv,BATCH4,4,20,9.916926272066458,2.0,1926
190,190,gradle.csv,BATCHBISECT,1,2,52.33644859813084,0.0,1926
191,191,gradle.csv,BATCHBISECT,1,3,35.7736240913811,0.0,1926
192,192,gradle.csv,BATCHBISECT,1,4,27.050882658359296,0.0,1926
193,193,gradle.csv,BATCHBISECT,1,5,21.962616822429908,0.0,1926
194,194,gradle.csv,BATCHBISECT,1,6,18.743509865005187,0.0,1926
195,195,gradle.csv,BATCHBISECT,1,7,15.368639667705088,0.0,1926
196,196,gradle.csv,BATCHBISECT,1,8,13.75908618899273,0.0,1926
197,197,gradle.csv,BATCHBISECT,1,9,12.201453790238835,0.0,1926
198,198,gradle.csv,BATCHBISECT,1,10,11.059190031152648,0.0,1926
199,199,gradle.csv,BATCHBISECT,1,11,10.332294911734165,0.0,1926
200,200,gradle.csv,BATCHBISECT,1,12,9.397715472481828,0.0,1926
201,201,gradle.csv,BATCHBISECT,1,13,8.3073727933541,0.0,1926
202,202,gradle.csv,BATCHBISECT,1,14,7.995846313603323,0.0,1926
203,203,gradle.csv,BATCHBISECT,1,15,7.11318795430945,0.0,1926
204,204,gradle.csv,BATCHBISECT,1,16,7.268951194184839,0.0,1926
205,205,gradle.csv,BATCHBISECT,1,17,6.749740394600208,0.0,1926
206,206,gradle.csv,BATCHBISECT,1,18,6.334371754932502,0.0,1926
207,207,gradle.csv,BATCHBISECT,1,19,6.230529595015576,0.0,1926
208,208,gradle.csv,BATCHBISECT,1,20,5.711318795430945,1.0,1926
209,209,gradle.csv,BATCHBISECT,2,2,36.34475597092421,1.0,1926
210,210,gradle.csv,BATCHBISECT,2,3,28.50467289719626,1.0,1926
211,211,gradle.csv,BATCHBISECT,2,4,23.62409138110073,1.0,1926
212,212,gradle.csv,BATCHBISECT,2,5,20.093457943925237,1.0,1926
213,213,gradle.csv,BATCHBISECT,2,6,16.71858774662513,1.0,1926
214,214,gradle.csv,BATCHBISECT,2,7,15.835929387331255,1.0,1926
215,215,gradle.csv,BATCHBISECT,2,8,13.811007268951194,1.0,1926
216,216,gradle.csv,BATCHBISECT,2,9,13.032191069574248,1.0,1926
217,217,gradle.csv,BATCHBISECT,2,10,12.61682242990654,1.0,1926
218,218,gradle.csv,BATCHBISECT,2,11,11.214953271028037,1.0,1926
219,219,gradle.csv,BATCHBISECT,2,12,10.384215991692628,1.0,1926
220,220,gradle.csv,BATCHBISECT,2,13,9.709241952232606,1.0,1926
221,221,gradle.csv,BATCHBISECT,2,14,8.982346832814123,1.0,1926
222,222,gradle.csv,BATCHBISECT,2,15,8.826583592938734,1.0,1926
223,223,gradle.csv,BATCHBISECT,2,16,8.46313603322949,1.0,1926
224,224,gradle.csv,BATCHBISECT,2,17,7.892004153686397,1.0,1926
225,225,gradle.csv,BATCHBISECT,2,18,8.307372793354102,1.0,1926
226,226,gradle.csv,BATCHBISECT,2,19,7.476635514018692,1.0,1926
227,227,gradle.csv,BATCHBISECT,2,20,7.372793354101765,1.0,1926
228,228,gradle.csv,BATCHBISECT,4,2,24.350986500519213,1.0,1926
229,229,gradle.csv,BATCHBISECT,4,3,21.33956386292835,1.5,1926
230,230,gradle.csv,BATCHBISECT,4,4,19.055036344755973,2.0,1926
231,231,gradle.csv,BATCHBISECT,4,5,16.978193146417446,2.0,1926
232,232,gradle.csv,BATCHBISECT,4,6,15.835929387331255,2.0,1926
233,233,gradle.csv,BATCHBISECT,4,7,14.74558670820353,2.0,1926
234,234,gradle.csv,BATCHBISECT,4,8,14.53790238836968,2.0,1926
235,235,gradle.csv,BATCHBISECT,4,9,12.980269989615785,2.0,1926
236,236,gradle.csv,BATCHBISECT,4,10,12.512980269989615,2.0,1926
237,237,gradle.csv,BATCHBISECT,4,11,12.201453790238835,2.0,1926
238,238,gradle.csv,BATCHBISECT,4,12,11.370716510903426,2.0,1926
239,239,gradle.csv,BATCHBISECT,4,13,10.384215991692628,2.0,1926
240,240,gradle.csv,BATCHBISECT,4,14,10.22845275181724,2.0,1926
241,241,gradle.csv,BATCHBISECT,4,15,9.96884735202492,2.0,1926
242,242,gradle.csv,BATCHBISECT,4,16,9.76116303219107,2.0,1926
243,243,gradle.csv,BATCHBISECT,4,17,9.293873312564902,2.0,1926
244,244,gradle.csv,BATCHBISECT,4,18,9.501557632398754,2.0,1926
245,245,gradle.csv,BATCHBISECT,4,19,9.553478712357215,2.0,1926
246,246,gradle.csv,BATCHBISECT,4,20,8.878504672897199,2.0,1926
247,247,gradle.csv,BATCHBISECT,8,2,17.86085150571132,4.0,1926
248,248,gradle.csv,BATCHBISECT,8,3,17.341640706126686,3.0,1926
249,249,gradle.csv,BATCHBISECT,8,4,16.407061266874354,4.0,1926
250,250,gradle.csv,BATCHBISECT,8,5,14.589823468328142,3.0,1926
251,251,gradle.csv,BATCHBISECT,8,6,14.07061266874351,3.0,1926
252,252,gradle.csv,BATCHBISECT,8,7,14.122533748701972,4.0,1926
253,253,gradle.csv,BATCHBISECT,8,8,13.75908618899273,4.0,1926
254,254,gradle.csv,BATCHBISECT,8,9,13.499480789200415,4.0,1926
255,255,gradle.csv,BATCHBISECT,8,10,12.461059190031152,4.0,1926
256,256,gradle.csv,BATCHBISECT,8,11,12.201453790238835,4.0,1926
257,257,gradle.csv,BATCHBISECT,8,12,11.73416407061267,4.0,1926
258,258,gradle.csv,BATCHBISECT,8,13,11.57840083073728,4.0,1926
259,259,gradle.csv,BATCHBISECT,8,14,12.305295950155765,4.0,1926
260,260,gradle.csv,BATCHBISECT,8,15,11.42263759086189,4.0,1926
261,261,gradle.csv,BATCHBISECT,8,16,10.799584631360332,4.0,1926
262,262,gradle.csv,BATCHBISECT,8,17,10.539979231568015,4.0,1926
263,263,gradle.csv,BATCHBISECT,8,18,10.332294911734165,4.0,1926
264,264,gradle.csv,BATCHBISECT,8,19,10.59190031152648,4.0,1926
265,265,gradle.csv,BATCHBISECT,8,20,9.865005192107995,4.0,1926
266,266,gradle.csv,BATCHBISECT,16,2,14.74558670820353,8.0,1926
267,267,gradle.csv,BATCHBISECT,16,3,15.42056074766355,8.0,1926
268,268,gradle.csv,BATCHBISECT,16,4,14.90134994807892,8.0,1926
269,269,gradle.csv,BATCHBISECT,16,5,14.953271028037385,8.0,1926
270,270,gradle.csv,BATCHBISECT,16,6,12.305295950155765,8.0,1926
271,271,gradle.csv,BATCHBISECT,16,7,14.018691588785046,8.0,1926
272,272,gradle.csv,BATCHBISECT,16,8,13.655244029075805,7.0,1926
273,273,gradle.csv,BATCHBISECT,16,9,12.87642782969886,8.0,1926
274,274,gradle.csv,BATCHBISECT,16,10,13.655244029075805,8.0,1926
275,275,gradle.csv,BATCHBISECT,16,11,12.305295950155765,8.0,1926
