,Unnamed: 0,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,sum_delay,method,confidence
3,3,rails.csv,BATCHBISECT,4,82.9664570230608,1.5,7632,,gr,
4,4,rails.csv,BATCHBISECT,8,86.92348008385744,3.5,7632,,gr,
5,5,rails.csv,BATCHBISECT,16,90.97222222222224,7.5,7632,,gr,
7,7,rails.csv,BATCHSTOP4,8,76.75576519916143,3.5,7632,,gr,
8,8,rails.csv,BATCHSTOP4,16,80.80450733752619,7.5,7632,,gr,
10,10,gradle.csv,BATCHBISECT,1,100.0,0.0,1926,,gr,
11,11,gradle.csv,BATCHBISECT,2,61.21495327102804,0.5,1926,,gr,
12,12,gradle.csv,BATCHBISECT,4,46.00207684319834,2.0,1926,,gr,
13,13,gradle.csv,BATCHBISECT,8,40.965732087227416,4.0,1926,,gr,
14,14,gradle.csv,BATCHBISECT,16,41.22533748701973,8.0,1926,,gr,
16,16,gradle.csv,BATCHSTOP4,8,39.51194184839045,4.0,1926,,gr,
17,17,gradle.csv,BATCHSTOP4,16,39.77154724818276,8.0,1926,,gr,
19,19,heroku.csv,BATCHBISECT,1,100.0,0.0,1125,,gr,
20,20,heroku.csv,BATCHBISECT,2,68.88888888888889,1.0,1125,,gr,
21,21,heroku.csv,BATCHBISECT,4,57.95555555555556,2.0,1125,,gr,
22,22,heroku.csv,BATCHBISECT,8,55.644444444444446,4.0,1125,,gr,
23,23,heroku.csv,BATCHBISECT,16,56.53333333333334,8.0,1125,,gr,
25,25,heroku.csv,BATCHSTOP4,8,51.37777777777778,4.0,1125,,gr,
26,26,heroku.csv,BATCHSTOP4,16,52.44444444444444,8.0,1125,,gr,
28,28,jruby.csv,BATCHBISECT,1,100.0,0.0,4473,,gr,
29,29,jruby.csv,BATCHBISECT,2,121.37268052761011,1.0,4473,,gr,
30,30,jruby.csv,BATCHBISECT,4,137.78224904985467,2.0,4473,,gr,
31,31,jruby.csv,BATCHBISECT,8,148.64744019673597,4.0,4473,,gr,
32,32,jruby.csv,BATCHBISECT,16,154.70601386094344,8.0,4473,,gr,
34,34,jruby.csv,BATCHSTOP4,8,119.27118265146434,4.0,4473,,gr,
35,35,jruby.csv,BATCHSTOP4,16,125.32975631567182,8.0,4473,,gr,
37,37,metasploit-framework.csv,BATCHBISECT,1,100.0,0.0,4104,,gr,
38,38,metasploit-framework.csv,BATCHBISECT,2,56.7738791423002,0.5,4104,,gr,
39,39,metasploit-framework.csv,BATCHBISECT,4,38.01169590643275,1.5,4104,,gr,
40,40,metasploit-framework.csv,BATCHBISECT,8,30.82358674463937,3.5,4104,,gr,
41,41,metasploit-framework.csv,BATCHBISECT,16,28.971734892787524,8.0,4104,,gr,
43,43,metasploit-framework.csv,BATCHSTOP4,8,30.287524366471736,3.5,4104,,gr,
44,44,metasploit-framework.csv,BATCHSTOP4,16,28.435672514619885,8.0,4104,,gr,
46,46,cloudify.csv,BATCHBISECT,1,100.0,0.0,2601,,gr,
47,47,cloudify.csv,BATCHBISECT,2,64.5520953479431,1.0,2601,,gr,
48,48,cloudify.csv,BATCHBISECT,4,49.48096885813149,2.0,2601,,gr,
49,49,cloudify.csv,BATCHBISECT,8,44.17531718569781,4.0,2601,,gr,
50,50,cloudify.csv,BATCHBISECT,16,42.86812764321415,8.0,2601,,gr,
52,52,cloudify.csv,BATCHSTOP4,8,39.946174548250674,4.0,2601,,gr,
53,53,cloudify.csv,BATCHSTOP4,16,38.63898500576701,8.0,2601,,gr,
55,55,vagrant.csv,BATCHBISECT,1,100.0,0.0,2187,,gr,
56,56,vagrant.csv,BATCHBISECT,2,60.448102423411065,1.0,2187,,gr,
57,57,vagrant.csv,BATCHBISECT,4,42.56973022405121,2.0,2187,,gr,
58,58,vagrant.csv,BATCHBISECT,8,35.80246913580247,4.0,2187,,gr,
59,59,vagrant.csv,BATCHBISECT,16,33.83630544124371,8.0,2187,,gr,
61,61,vagrant.csv,BATCHSTOP4,8,32.78463648834019,4.0,2187,,gr,
62,62,vagrant.csv,BATCHSTOP4,16,30.818472793781435,8.0,2187,,gr,
64,64,rubinius.csv,BATCHBISECT,1,100.0,0.0,2169,,gr,
65,65,rubinius.csv,BATCHBISECT,2,92.07007837713232,1.0,2169,,gr,
66,66,rubinius.csv,BATCHBISECT,4,96.77270631627478,2.0,2169,,gr,
67,67,rubinius.csv,BATCHBISECT,8,102.85846011987093,4.0,2169,,gr,
68,68,rubinius.csv,BATCHBISECT,16,107.51498386353158,8.0,2169,,gr,
70,70,rubinius.csv,BATCHSTOP4,8,90.96357768556938,4.0,2169,,gr,
71,71,rubinius.csv,BATCHSTOP4,16,95.62010142923006,8.0,2169,,gr,
73,73,open-build-service.csv,BATCHBISECT,1,100.0,0.0,2007,,gr,
74,74,open-build-service.csv,BATCHBISECT,2,79.3223716990533,1.0,2007,,gr,
75,75,open-build-service.csv,BATCHBISECT,4,76.3328350772297,2.0,2007,,gr,
76,76,open-build-service.csv,BATCHBISECT,8,79.22272047832585,4.0,2007,,gr,
77,77,open-build-service.csv,BATCHBISECT,16,83.50772296960638,8.0,2007,,gr,
79,79,open-build-service.csv,BATCHSTOP4,8,72.34678624813154,4.0,2007,,gr,
80,80,open-build-service.csv,BATCHSTOP4,16,76.73143996013951,8.0,2007,,gr,
82,82,sonarqube.csv,BATCHBISECT,1,100.0,0.0,1710,,gr,
83,83,sonarqube.csv,BATCHBISECT,2,69.29824561403508,0.5,1710,,gr,
84,84,sonarqube.csv,BATCHBISECT,4,60.23391812865496,2.0,1710,,gr,
