,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,method
29,graylog2-server.csv,BATCHBISECT,2,5.645161151885986,1.0,2108,ssr
67,graylog2-server.csv,BATCHBISECT,4,6.166983127593994,2.0,2108,ssr
118,graylog2-server.csv,BATCHBISECT,8,8.681214332580566,4.0,2108,ssr
158,graylog2-server.csv,BATCHBISECT,16,10.48387050628662,8.0,2108,ssr
119,graylog2-server.csv,BATCHSTOP4,8,8.111954689025879,4.0,2108,ssr
159,graylog2-server.csv,BATCHSTOP4,16,10.009488105773926,8.0,2108,ssr
77,heroku.csv,BATCH4,4,17.635751724243164,2.0,2081,ssr
12,heroku.csv,BATCHBISECT,1,9.418548583984377,2.0,2081,ssr
32,heroku.csv,BATCHBISECT,2,15.088899612426758,1.0,2081,ssr
76,heroku.csv,BATCHBISECT,4,20.615089416503903,2.0,2081,ssr
124,heroku.csv,BATCHBISECT,8,28.35175323486328,4.0,2081,ssr
164,heroku.csv,BATCHBISECT,16,47.66938781738281,8.0,2081,ssr
125,heroku.csv,BATCHSTOP4,8,24.7957706451416,4.0,2081,ssr
165,heroku.csv,BATCHSTOP4,16,43.24843978881836,8.0,2081,ssr
44,jruby.csv,BATCH4,4,79.78968048095703,2.0,8273,ssr
1,jruby.csv,BATCHBISECT,1,40.58987045288086,0.0,8273,ssr
21,jruby.csv,BATCHBISECT,2,69.99879455566406,1.0,8273,ssr
43,jruby.csv,BATCHBISECT,4,103.09440612792967,2.0,8273,ssr
102,jruby.csv,BATCHBISECT,8,128.82872009277344,4.0,8273,ssr
142,jruby.csv,BATCHBISECT,16,141.8469696044922,8.0,8273,ssr
103,jruby.csv,BATCHSTOP4,8,103.39659118652344,4.0,8273,ssr
143,jruby.csv,BATCHSTOP4,16,115.47201538085938,8.0,8273,ssr
50,loomio.csv,BATCH4,4,38.91170501708984,2.0,2922,ssr
3,loomio.csv,BATCHBISECT,1,13.141683578491213,2.0,2922,ssr
23,loomio.csv,BATCHBISECT,2,23.032169342041016,1.0,2922,ssr
49,loomio.csv,BATCHBISECT,4,46.23545455932617,2.0,2922,ssr
106,loomio.csv,BATCHBISECT,8,66.11909484863281,4.0,2922,ssr
146,loomio.csv,BATCHBISECT,16,83.0937728881836,8.0,2922,ssr
107,loomio.csv,BATCHSTOP4,8,57.08419036865234,4.0,2922,ssr
147,loomio.csv,BATCHSTOP4,16,73.06639099121094,8.0,2922,ssr
80,metasploit-framework.csv,BATCH4,4,7.4210524559021,2.0,7600,ssr
13,metasploit-framework.csv,BATCHBISECT,1,5.605263233184815,0.0,7600,ssr
33,metasploit-framework.csv,BATCHBISECT,2,6.855263233184815,1.0,7600,ssr
79,metasploit-framework.csv,BATCHBISECT,4,7.631578922271728,2.0,7600,ssr
126,metasploit-framework.csv,BATCHBISECT,8,12.631579399108888,4.0,7600,ssr
166,metasploit-framework.csv,BATCHBISECT,16,19.052631378173828,8.0,7600,ssr
