,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays
2.0,orbeon-forms.csv,ml,BATCHSTOP4,8,59.65665236051502,812.0,0.0
3.0,orbeon-forms.csv,ml,BATCHSTOP4,16,61.37339055793991,1800.0,0.0
4.0,orbeon-forms.csv,ml,BATCHBISECT,2,64.37768240343348,110.0,0.0
5.0,orbeon-forms.csv,ml,BATCHBISECT,4,57.081545064377686,342.0,0.0
6.0,orbeon-forms.csv,ml,BATCHBISECT,8,60.51502145922747,812.0,0.0
7.0,orbeon-forms.csv,ml,BATCHBISECT,16,63.09012875536481,1800.0,0.0
8.0,puppet.csv,ml,BATCH4,4,36.231884057971016,102.0,0.0
9.0,puppet.csv,ml,BATCHSTOP4,4,36.231884057971016,102.0,0.0
10.0,puppet.csv,ml,BATCHSTOP4,8,21.73913043478261,252.0,1.0
11.0,puppet.csv,ml,BATCHSTOP4,16,18.84057971014493,600.0,1.0
12.0,puppet.csv,ml,BATCHBISECT,2,50.72463768115942,33.0,1.0
13.0,puppet.csv,ml,BATCHBISECT,4,36.231884057971016,102.0,0.0
14.0,puppet.csv,ml,BATCHBISECT,8,21.73913043478261,252.0,1.0
15.0,puppet.csv,ml,BATCHBISECT,16,18.84057971014493,600.0,1.0
16.0,graylog2-server.csv,ml,BATCH4,4,30.174563591022444,558.0,0.0
17.0,graylog2-server.csv,ml,BATCHSTOP4,4,30.174563591022444,558.0,0.0
18.0,graylog2-server.csv,ml,BATCHSTOP4,8,22.693266832917704,1372.0,0.0
19.0,graylog2-server.csv,ml,BATCHSTOP4,16,20.1995012468828,3000.0,0.0
20.0,graylog2-server.csv,ml,BATCHBISECT,2,44.63840399002494,169.0,1.5
21.0,graylog2-server.csv,ml,BATCHBISECT,4,30.174563591022444,558.0,0.0
22.0,graylog2-server.csv,ml,BATCHBISECT,8,22.693266832917704,1372.0,0.0
23.0,graylog2-server.csv,ml,BATCHBISECT,16,20.1995012468828,3000.0,0.0
24.0,vagrant.csv,ml,BATCH4,4,33.098591549295776,372.0,1.0
25.0,vagrant.csv,ml,BATCHSTOP4,4,33.098591549295776,372.0,1.0
26.0,vagrant.csv,ml,BATCHSTOP4,8,31.338028169014084,980.0,0.0
27.0,vagrant.csv,ml,BATCHSTOP4,16,30.985915492957748,2160.0,0.0
28.0,vagrant.csv,ml,BATCHBISECT,2,42.6056338028169,107.0,1.5
29.0,vagrant.csv,ml,BATCHBISECT,4,33.098591549295776,372.0,1.0
30.0,vagrant.csv,ml,BATCHBISECT,8,31.338028169014084,980.0,0.0
31.0,vagrant.csv,ml,BATCHBISECT,16,30.985915492957748,2160.0,0.0
32.0,gradle.csv,ml,BATCH4,4,31.95691202872532,660.0,1.0
33.0,gradle.csv,ml,BATCHSTOP4,4,31.95691202872532,660.0,1.0
34.0,gradle.csv,ml,BATCHSTOP4,8,32.13644524236984,1820.0,0.0
35.0,gradle.csv,ml,BATCHSTOP4,16,29.802513464991023,4080.0,1.0
36.0,gradle.csv,ml,BATCHBISECT,2,35.5475763016158,174.0,2.0
37.0,gradle.csv,ml,BATCHBISECT,4,31.95691202872532,660.0,1.0
38.0,gradle.csv,ml,BATCHBISECT,8,32.49551166965889,1820.0,0.0
39.0,gradle.csv,ml,BATCHBISECT,16,30.16157989228008,4080.0,1.0
40.0,geoserver.csv,ml,BATCH4,4,98.8095238095238,252.0,0.0
41.0,geoserver.csv,ml,BATCHSTOP4,4,98.8095238095238,252.0,0.0
42.0,geoserver.csv,ml,BATCHSTOP4,8,111.3095238095238,588.0,0.0
43.0,geoserver.csv,ml,BATCHSTOP4,16,117.26190476190476,1320.0,0.0
44.0,geoserver.csv,ml,BATCHBISECT,2,88.0952380952381,76.0,1.5
45.0,geoserver.csv,ml,BATCHBISECT,4,109.52380952380952,252.0,0.0
46.0,geoserver.csv,ml,BATCHBISECT,8,122.02380952380952,588.0,0.0
47.0,geoserver.csv,ml,BATCHBISECT,16,127.97619047619048,1320.0,0.0
48.0,sonarqube.csv,ml,BATCH4,4,51.66666666666666,426.0,1.0
49.0,sonarqube.csv,ml,BATCHSTOP4,4,51.66666666666666,426.0,1.0
50.0,sonarqube.csv,ml,BATCHSTOP4,8,49.66666666666666,1036.0,1.0
51.0,sonarqube.csv,ml,BATCHSTOP4,16,53.66666666666666,2280.0,1.0
52.0,sonarqube.csv,ml,BATCHBISECT,2,54.66666666666666,128.0,1.0
53.0,sonarqube.csv,ml,BATCHBISECT,4,51.66666666666666,426.0,1.0
54.0,sonarqube.csv,ml,BATCHBISECT,8,49.66666666666666,1036.0,1.0
55.0,sonarqube.csv,ml,BATCHBISECT,16,53.66666666666666,2280.0,1.0
56.0,opal.csv,ml,BATCH4,4,39.73214285714285,318.0,0.0
57.0,opal.csv,ml,BATCHSTOP4,4,39.73214285714285,318.0,0.0
58.0,opal.csv,ml,BATCHSTOP4,8,35.714285714285715,784.0,0.0
59.0,opal.csv,ml,BATCHSTOP4,16,33.035714285714285,1680.0,1.0
60.0,opal.csv,ml,BATCHBISECT,2,50.0,96.0,1.0
61.0,opal.csv,ml,BATCHBISECT,4,39.73214285714285,318.0,0.0
62.0,opal.csv,ml,BATCHBISECT,8,35.714285714285715,784.0,0.0
63.0,opal.csv,ml,BATCHBISECT,16,33.035714285714285,1680.0,1.0
64.0,fog.csv,ml,BATCH4,4,69.51566951566952,504.0,1.0
65.0,fog.csv,ml,BATCHSTOP4,4,69.51566951566952,504.0,1.0
66.0,fog.csv,ml,BATCHSTOP4,8,72.07977207977208,1204.0,1.0
67.0,fog.csv,ml,BATCHSTOP4,16,80.34188034188034,2640.0,1.0
68.0,fog.csv,ml,BATCHBISECT,2,67.52136752136752,149.0,1.0
69.0,fog.csv,ml,BATCHBISECT,4,73.5042735042735,504.0,1.0
70.0,fog.csv,ml,BATCHBISECT,8,76.63817663817663,1204.0,1.0
71.0,fog.csv,ml,BATCHBISECT,16,83.19088319088318,2640.0,1.0
72.0,cloudify.csv,ml,BATCH4,4,33.60655737704918,600.0,5.0
73.0,cloudify.csv,ml,BATCHSTOP4,4,33.60655737704918,600.0,5.0
74.0,cloudify.csv,ml,BATCHSTOP4,8,30.942622950819672,1540.0,0.0
75.0,cloudify.csv,ml,BATCHSTOP4,16,29.30327868852459,3480.0,0.0
76.0,cloudify.csv,ml,BATCHBISECT,2,41.59836065573771,171.0,1.5
77.0,cloudify.csv,ml,BATCHBISECT,4,33.60655737704918,600.0,5.0
78.0,cloudify.csv,ml,BATCHBISECT,8,31.352459016393443,1540.0,0.0
79.0,cloudify.csv,ml,BATCHBISECT,16,30.12295081967213,3480.0,0.0
80.0,concerto.csv,ml,BATCH4,4,35.172413793103445,324.0,1.0
81.0,concerto.csv,ml,BATCHSTOP4,4,35.172413793103445,324.0,1.0
82.0,concerto.csv,ml,BATCHSTOP4,8,38.96551724137931,924.0,1.0
83.0,concerto.csv,ml,BATCHSTOP4,16,39.310344827586206,2160.0,0.0
