tr_build_id,patch_size,num_of_comments,test_file_changes,files_added,files_deleted,num_commits,frequency_file_change,num_of_reviewers,developer_experience,reviewer_experience
11363149,4,0,0,0,0,1,4180,0,381,381
11364038,4,0,0,0,0,1,4181,0,381,381
11371769,4,0,0,0,0,1,4182,0,381,381
11376821,17,0,0,0,0,1,12,0,370,370
11378230,0,0,0,0,0,1,4067,0,381,381
11379062,4,0,0,0,0,1,4184,0,382,382
11384496,124,0,0,0,0,2,237,0,340,340
11392215,0,0,2,0,0,1,9,0,382,382
11395111,4,0,0,0,0,1,3995,0,382,382
11395580,4,0,0,0,0,1,3996,0,382,382
11396047,4,0,0,0,0,1,3997,0,382,382
11399161,4,0,0,0,0,1,3998,0,382,382
11406327,48,0,0,0,0,1,1,0,370,370
11406415,24,0,0,0,0,1,54,0,371,371
11406968,2,0,0,0,0,1,118,0,375,375
11408461,25,0,0,0,0,1,2,0,375,375
11409063,4,0,0,0,0,1,3999,0,383,383
11409676,886,0,109,3,1,1,254,0,371,371
11411532,21,0,0,0,0,1,22,0,371,371
11411839,4,0,0,0,0,1,4001,0,383,383
11414982,4,0,0,0,0,1,4002,0,383,383
11420251,4,0,0,0,0,1,4003,0,383,383
11422827,2,0,0,0,0,1,119,0,376,376
11428478,4,0,0,0,0,1,4004,0,383,383
11432987,4,0,0,0,0,1,4005,0,383,383
11435625,4,0,0,0,0,1,4006,0,383,383
11444749,4,0,0,0,0,1,4007,0,383,383
11448317,4,0,0,0,0,1,4008,0,383,383
11454676,42,0,0,0,0,3,70,0,376,376
11456521,1234,0,111,3,1,1,4377,0,383,383
11456784,0,0,0,0,0,1,248,0,383,383
11458742,4,0,0,0,0,1,3906,0,384,384
11463349,5,0,0,0,0,1,11,0,383,383
11463375,91,0,0,1,0,3,74,0,377,377
11464524,11,0,0,0,0,1,66,0,372,372
11465668,245,0,0,0,0,1,24,0,384,384
11476125,4,0,0,0,0,1,3907,0,384,384
11479177,4,0,0,0,0,1,3908,0,384,384
11482866,4,0,0,0,0,1,3909,0,384,384
11484758,4,0,0,0,0,1,3910,0,384,384
11490094,4,0,0,0,0,1,3911,0,384,384
11493082,4,0,0,0,0,1,3912,0,384,384
11494871,4,0,0,0,0,1,3913,0,384,384
11497002,101,0,0,0,0,1,230,0,384,384
11499013,4,0,0,0,0,1,3914,0,384,384
11501646,77,0,0,0,0,1,74,0,384,384
11502696,48,0,0,0,0,1,23,0,384,384
11503513,48,0,0,0,0,1,13,0,384,384
11533820,4,0,0,0,0,1,3918,0,385,385
11562550,4,0,0,0,0,1,3920,0,386,386
11576290,4,0,0,0,0,1,3921,0,386,386
11577281,4,0,0,0,0,1,3922,0,386,386
11605033,4,0,0,0,0,1,3923,0,387,387
11607266,4,0,0,0,0,1,3924,0,387,387
11610537,25,0,0,0,0,1,13,0,0,0
11617288,4,0,0,0,0,1,3925,0,387,387
11618343,4,0,0,0,0,1,3926,0,387,387
11622418,4,0,0,0,0,1,3927,0,387,387
11633427,4,0,0,0,0,1,3928,0,388,388
11634948,4,0,0,0,0,1,3930,0,388,388
11643794,4,0,0,0,0,1,3931,0,388,388
11657316,25,0,0,0,0,1,4,0,382,382
11657608,23,0,0,0,0,1,67,0,347,347
11661476,4,0,0,0,0,1,3934,0,389,389
11663127,4,0,0,0,0,1,3935,0,389,389
11664613,4,0,0,0,0,1,3936,0,389,389
11678930,4,0,0,0,0,1,3937,0,389,389
11700728,4,0,0,0,0,1,3938,0,390,390
11707787,4,0,0,0,0,1,3939,0,390,390
11709317,4,0,0,0,0,1,3940,0,390,390
11721267,4,0,0,0,0,1,3941,0,390,390
11722253,0,0,0,0,0,1,11,0,110,110
11722333,11,0,0,0,0,1,14,0,0,0
11724545,4,0,0,0,0,1,3942,0,391,391
11724702,46,0,0,0,0,2,5,0,383,383
11731622,4,0,0,0,0,1,3943,0,391,391
11735121,4,0,0,0,0,1,3944,0,391,391
11745970,4,0,0,0,0,1,3945,0,391,391
11752104,4,0,0,0,0,1,3946,0,391,391
11753684,4,0,0,0,0,1,3947,0,391,391
11754677,4,0,0,0,0,1,3948,0,391,391
11766185,4,0,0,0,0,1,3949,0,391,391
11772129,23,0,0,0,0,1,25,0,385,385
11773242,0,0,4,0,0,1,9,0,385,385
11774340,4,0,0,0,0,1,3950,0,392,392
11802970,4,0,0,0,0,1,3951,0,392,392
11804175,4,0,0,0,0,1,3952,0,392,392
11815276,4,0,0,0,0,1,3953,0,393,393
11851876,4,0,0,0,0,1,3956,0,393,393
11870652,4,0,0,0,0,1,3957,0,14,14
11876700,4,0,0,0,0,1,3957,0,394,394
11878879,4,0,0,0,0,1,3959,0,394,394
11892840,4,0,0,0,0,1,3960,0,394,394
11908377,4,0,0,0,0,1,3962,0,395,395
11908763,4,0,0,0,0,1,3963,0,395,395
11919134,4,0,0,0,0,1,3964,0,395,395
11922674,4,0,0,0,0,1,3965,0,395,395
11922895,4,0,0,0,0,1,3966,0,395,395
11924995,24,0,0,0,0,1,26,0,389,389
11925444,4,0,0,0,0,1,3967,0,396,396
11926170,0,0,0,0,0,1,13,0,395,395
11927580,4,0,0,0,0,1,3968,0,396,396
